Zone,Allee,Deplacement,Niveau,longueur,largeur,hauteur,PoidsLimiteTotal,PoidsLimiteUnitaire,X,Y,Z,pictogramme,utilisateur,DateModif,DateCrea,Type1,Type2,Type3
S,3,30,3,40,24,38,20,,,,,,,,,,,
S,3,30,4,40,24,38,20,,,,,,,,,,,
S,3,30,5,40,24,38,20,,,,,,,,,,,
S,3,30,6,40,12,38,20,,,,,,,,,,,
S,3,30,7,40,12,38,20,,,,,,,,,,,
S,3,30,8,40,12,38,20,,,,,,,,,,,
S,3,30,9,40,12,38,20,,,,,,,,,,,
S,3,30,10,40,12,38,20,,,,,,,,,,,
S,3,31,1,40,24,38,20,,,,,,,,,,,
S,3,31,2,40,24,38,20,,,,,,,,,,,
S,3,31,3,40,24,38,20,,,,,,,,,,,
S,3,31,4,40,24,38,20,,,,,,,,,,,
S,3,31,5,40,24,38,20,,,,,,,,,,,
S,3,31,6,40,12,38,20,,,,,,,,,,,
S,3,31,7,40,12,38,20,,,,,,,,,,,
S,3,31,8,40,12,38,20,,,,,,,,,,,
S,3,31,9,40,12,38,20,,,,,,,,,,,
S,3,31,10,40,12,38,20,,,,,,,,,,,
S,3,32,1,40,24,38,20,,,,,,,,,,,
S,3,32,2,40,24,38,20,,,,,,,,,,,
S,3,32,3,40,24,38,20,,,,,,,,,,,
S,3,32,4,40,24,38,20,,,,,,,,,,,
S,3,32,5,40,24,38,20,,,,,,,,,,,
S,3,32,6,40,12,38,20,,,,,,,,,,,
S,3,32,7,40,12,38,20,,,,,,,,,,,
S,3,32,8,40,12,38,20,,,,,,,,,,,
S,3,32,9,40,12,38,20,,,,,,,,,,,
S,3,32,10,40,12,38,20,,,,,,,,,,,
S,3,33,1,40,24,38,20,,,,,,,,,,,
S,3,33,2,40,24,38,20,,,,,,,,,,,
S,3,33,3,40,24,38,20,,,,,,,,,,,
S,3,33,4,40,24,38,20,,,,,,,,,,,
S,3,33,5,40,24,38,20,,,,,,,,,,,
S,3,33,6,40,12,38,20,,,,,,,,,,,
S,3,33,7,40,12,38,20,,,,,,,,,,,
S,3,33,8,40,12,38,20,,,,,,,,,,,
S,3,33,9,40,12,38,20,,,,,,,,,,,
S,3,33,10,40,12,38,20,,,,,,,,,,,
S,3,34,1,40,24,38,20,,,,,,,,,,,
S,3,34,2,40,24,38,20,,,,,,,,,,,
S,3,34,3,40,24,38,20,,,,,,,,,,,
S,3,34,4,40,24,38,20,,,,,,,,,,,
S,3,34,5,40,24,38,20,,,,,,,,,,,
S,3,34,6,40,12,38,20,,,,,,,,,,,
S,3,34,7,40,12,38,20,,,,,,,,,,,
S,3,34,8,40,12,38,20,,,,,,,,,,,
S,3,34,9,40,12,38,20,,,,,,,,,,,
S,3,34,10,40,12,38,20,,,,,,,,,,,
S,3,35,1,40,24,38,20,,,,,,,,,,,
S,3,35,2,40,24,38,20,,,,,,,,,,,
S,3,35,3,40,24,38,20,,,,,,,,,,,
S,3,35,4,40,24,38,20,,,,,,,,,,,
S,3,35,5,40,24,38,20,,,,,,,,,,,
S,3,35,6,40,12,38,20,,,,,,,,,,,
S,3,35,7,40,12,38,20,,,,,,,,,,,
S,3,35,8,40,12,38,20,,,,,,,,,,,
S,3,35,9,40,12,38,20,,,,,,,,,,,
S,3,35,10,40,12,38,20,,,,,,,,,,,
S,3,36,1,40,24,38,20,,,,,,,,,,,
S,3,36,2,40,24,38,20,,,,,,,,,,,
S,3,36,3,40,24,38,20,,,,,,,,,,,
S,3,36,4,40,24,38,20,,,,,,,,,,,
S,3,36,5,40,24,38,20,,,,,,,,,,,
S,3,36,6,40,12,38,20,,,,,,,,,,,
S,3,36,7,40,12,38,20,,,,,,,,,,,
S,3,36,8,40,12,38,20,,,,,,,,,,,
S,3,36,9,40,12,38,20,,,,,,,,,,,
S,3,36,10,40,12,38,20,,,,,,,,,,,
S,3,37,1,40,24,38,20,,,,,,,,,,,
S,3,37,2,40,24,38,20,,,,,,,,,,,
S,3,37,3,40,24,38,20,,,,,,,,,,,
S,3,37,4,40,24,38,20,,,,,,,,,,,
S,3,37,5,40,24,38,20,,,,,,,,,,,
S,3,37,6,40,12,38,20,,,,,,,,,,,
S,3,37,7,40,12,38,20,,,,,,,,,,,
S,3,37,8,40,12,38,20,,,,,,,,,,,
S,3,37,9,40,12,38,20,,,,,,,,,,,
S,3,37,10,40,12,38,20,,,,,,,,,,,
S,3,38,1,40,24,38,20,,,,,,,,,,,
S,3,38,2,40,24,38,20,,,,,,,,,,,
S,3,38,3,40,24,38,20,,,,,,,,,,,
S,3,38,4,40,24,38,20,,,,,,,,,,,
S,3,38,5,40,24,38,20,,,,,,,,,,,
S,3,38,6,40,12,38,20,,,,,,,,,,,
S,3,38,7,40,12,38,20,,,,,,,,,,,
S,3,38,8,40,12,38,20,,,,,,,,,,,
S,3,38,9,40,12,38,20,,,,,,,,,,,
S,3,38,10,40,12,38,20,,,,,,,,,,,
S,3,39,1,40,24,38,20,,,,,,,,,,,
S,3,39,2,40,24,38,20,,,,,,,,,,,
S,3,39,3,40,24,38,20,,,,,,,,,,,
S,3,39,4,40,24,38,20,,,,,,,,,,,
S,3,39,5,40,24,38,20,,,,,,,,,,,
S,3,39,6,40,12,38,20,,,,,,,,,,,
S,3,39,7,40,12,38,20,,,,,,,,,,,
S,3,39,8,40,12,38,20,,,,,,,,,,,
S,3,39,9,40,12,38,20,,,,,,,,,,,
S,3,39,10,40,12,38,20,,,,,,,,,,,
S,3,40,1,40,24,38,20,,,,,,,,,,,
S,3,40,2,40,24,38,20,,,,,,,,,,,
S,3,40,3,40,24,38,20,,,,,,,,,,,
S,3,40,4,40,24,38,20,,,,,,,,,,,
S,3,40,5,40,24,38,20,,,,,,,,,,,
S,3,40,6,40,12,38,20,,,,,,,,,,,
S,3,40,7,40,12,38,20,,,,,,,,,,,
S,3,40,8,40,12,38,20,,,,,,,,,,,
S,3,40,9,40,12,38,20,,,,,,,,,,,
S,3,40,10,40,12,38,20,,,,,,,,,,,
